1;Nella parabola del seminatore,Gesù raccontò di un contadino che andò;a vendemmiare;a cercare una pecora;a seminare;;3;;;;;;;;;;;;;
2;Gesù raccontòche alcuni semi caddero sulla strada e..;crebbe una bella pianta;gli uccelli li mangiarono;seccarono;;2;;;;;;;;;;;;;
3;Altri semi caddero tra i sassi.Germogliarono ma..;il vento spazzò le piantine;la pioggia li fece marcire;il sole fece seccare le pianticelle perché non avevano radici profonde;;3;;;;;;;;;;;;;
4;Cosa successe,invece,ai semi caduti tra le spine?;Germogliarono,ma le spine soffocarono le pianticelle;il vento lispostò lontano;il sole li fece seccare;;1;;;;;;;;;;;;;
5;Altri semi caddero su un terreno buono..;ma non germogliarono;e diedero un frutto abbondante;e diedero un raccolto scarso;;2;;;;;;;;;;;;;
6;Dov'era Gesù quando raccontò la parabola del seminatore;A Betlemme;Nel Tempio;In riva al lago di Galilea;;3;;;;;;;;;;;;;
7;"Gesù, spiegando il significato della ""parabola del seminatore"", disse che il seme finito sulla strada indica..";Chi sente parlare del regno di Dio ma non capisce.Viene il maligno e ruba quel che è stato seminato nel suo cuore;chi fa finta di nulla;chi spreca il pane quotidiano;;1;;;;;;;;;;;;;
8;Il seme caduto tra i sassi indica..;chi accoglie con entusiasmo la parola di Dio,ma appena incontra delle difficoltà  subito si lascia andare;chi si accontenta di poco;chi è capace di superare le difficoltà ;;1;;;;;;;;;;;;;
9;Il seme caduto tra le spine indica..;"chi ascolta la paroladi Dio,ma poi si lascia prendere dalle preoccupazioni di questo mondo o dai piaceri della ricchezza;tutto nquesto soffoca la parola di Dio ed essa rimane senza frutto";chi non sa cosa fare;chi ascolta la parola di Dio,la capisce e la fa fruttificare;;1;;;;;;;;;;;;;
10;Il seme caduto nel terreno buono indica..;chi ascolta la parola di Dio,la capisce e la fa fruttificare;chi è fortunato e ha molti soldi;chi cerca la comodità ;;1;;;;;;;;;;;;;
1;"Com'è anche chiamata la ""parabola dell'erba cattiva""?";Parabola della zizzania;Parabola del servo crudele;Parabola dei due figli;;1;;;;;;;;;;;;;
2;"Nella ""parabola dell'erba cattiva"" si racconta che il Regno di Dio è come la..";rugiada del mattino;buona semente che un uomo fece seminare nel suo campo;sorgente d'acqua pura;;2;;;;;;;;;;;;;
3;Che cosa successe dopo che il grano era stato seminato?;Un nemico venne a seminare, di notte, dell'erba cattiva;Le talpe mangiarono i semi;Una siccità  colpi' il paese;;1;;;;;;;;;;;;;
4;Che cosa fece il padrone del campo quando seppe che insieme algrano era cresciuta del'erba cattiva?;Fece tagliare l'erba cattiva;Lasciò crescere l'erba cattiva insieme algrano;Vendette ilcampo;Seminò della nuova semente;2;;;;;;;;;;;;;
5;Che cosa pensava di fare il padrone del campo al momento della mietitura?;Avrebbe bruciato il raccolto;Avrebbe fatto raccogliere laspighe ad una ad una;Avrebbe fatto raccogliere prima l'erba cattiva, per poi bruciarla. Mentre il grano l'avrebbe risposto nei granai;;3;;;;;;;;;;;;;
6;Gesù spiegò che colui che semina la buona semente è..;Il figlio dell'uomo(cioè Gesù stesso);Un padre buono;un uomo generoso;;1;;;;;;;;;;;;;
7;Gesù spiegò che il campo da seminare è..;Il mondo;La Chiesa;La campagna;;1;;;;;;;;;;;;;
8;La buona semente rappresenta coloro..;Che giocano bene a pallone;Che appartengono al Regno di Dio;Che si comportano male;;2;;;;;;;;;;;;;
9;Chi è il nemico che ha seminato l'erba cattiva?;Il diavolo;Un tipo scherzoso;Uno che si è sbagliato;;1;;;;;;;;;;;;;
10;"Gesù spiega anche che il ""giorno del raccolto"" corrisponde..";all'inizio dell'estate;allafine del mondo;alla domenica;;2;;;;;;;;;;;;;
11;Quale sorte toccherà  a coloro che fanno lavolontà di Dio?;Saranno splendenti come ilsole nel regno di Dio Padre;Nulla di particolare;Piangeranno per sempre;;1;;;;;;;;;;;;;
1;"Nella ""parabola della pecora smarrita"" Gesù racconta di un pastore che possedeva molte pecore. Quante erano?";Cento;Mille;Venti;;1;;;;;;;;;;;;;
2;Cosa fa il pastore quando si accorge che manca una pecora?;Aspetta che ritorni da sola;Lascia le altre novantanove e va a cercarla;Chiede aiuto agli amici;;2;;;;;;;;;;;;;
3;Il pastore, dopo aver ritrovato la pecora smarrita,è..;stanco;più contento per la pecora ritrovata che per le altre novantanove che non si erano perse;arrabbiato;;2;;;;;;;;;;;;;
1;"Nella ""Parabola del servo crudele"" si parla di un servo che..";doveva pagare al suo re una enorme somma di denaro;non aveva voglia di lavorare;era gravemente ammalato;;1;;;;;;;;;;;;;
2;Come si comporta il re di fronte alle implorazioni delservo?;Lo licenziò;Ebbe pietà  di lui e cancellò ilsuo debito;Lo mise in prigione;;2;;;;;;;;;;;;;
3;Chi incontrò il servitore dopo essersi recato dal re?;Un compagno che gli doveva una piccola somma di denaro;un amico di infanzia;il figlio del re;;1;;;;;;;;;;;;;
4;Come si comportò il servo nei confronti del compagno che gli doveva pochi soldi?;Gli condonò il debito;Lo fece mettere in prigione;Lo mandò dal re;;2;;;;;;;;;;;;;
5;Il re informato dell'accaduto chiamò il servitore e gli disse..;Hai fatto proprio bene!;Dovevi anche tu avere pietà  del tuo compagno,cosi' come io ho avuto pietà  di te;;;3;;;;;;;;;;;;;
6;"Qual è l'insegnamento  che Gesù voleva trasmettere con la ""parabola del servo crudele""?";;Bisogna perdonare con generosità  il nostro prossimo;Non bisogna avere pietà ;;2;;;;;;;;;;;;;
1;Gesù raccontò di un uomo che cercava dei lavoranti perché?;possedeva un campo di grano;possedeva una grande vigna;possedeva molte mucche;;2;;;;;;;;;;;;;
2;Quale paga concordò il padrone della vigna con gli operai che incontrò al mattino presto?;Una moneta d'argento al giorno;Un sacco di grano al giorno;Due otri di vino al giorno;;2;;;;;;;;;;;;;
3;Durante la giornata il padrone incontrò altri uomini che cercavano un lavoro. Cosa disse loro?;Non ho più bisogno di operai;"Andate nella mia vigna; vi pagherò quello che è giusto";;;2;;;;;;;;;;;;;
4;Quale paga ebbero gli operai chiamati a lavorare per ultimi?;Un sacco di grano;Mezza moneta d'argento;Una moneta d'argento;;3;;;;;;;;;;;;;
5;Cosa pensarono i primi lavoratori, quando videro che gli ultimi avevano ricevuto una moneta d'argento?;Credevano di ricevere una paga maggiore di quella concordata;Ilpadrone èmolto generoso;Domani ce ne stiamo a casa;;1;;;;;;;;;;;;;
6;Con quali parole Gesù concluse la parabola?;Quelli che sono gli ultimi saranno i primi, e quelli che sono primi saranno gli ultimi;Nessuno sa il suo domani;;;1;;;;;;;;;;;;;
1;Un padre disse al primo dei due figlidi andare a lavorare nellavigna. Che cosa gli rispose costui?;No,non ne ho voglia;Ci vado tra mezzora;Va bene,ci vado subito;;1;;;;;;;;;;;;;
2;"Cosa fece ilprimo figlio dopo aver detto di ""no"" al padre?";Cambiò idea e andò nella vigna;Andò a spasso nella vigna;;;1;;;;;;;;;;;;;
3;Cosa rispose ilsecondo figlio alla richiesta del padre di andare nella vigna  a lavorare?;;Solo se viene mio fratello;Si,padre;;3;;;;;;;;;;;;;
