1;Nella "parabola del seminatore", Gesu' racconto di un contadino che ando'...;a vendemmiare;a cercare una pecora;a seminare;.;3
2;Gesu' racconto che alcuni semi e caddero sulla strada e...;crebbe una bella pianta;gli uccelli li mangiarono;seccarono;.;2
3;Altri semi caddero tra i sassi.Germogliarono ma...;il vento spezzo' le piantine;la pioggia li fece marcire;il sole fece seccare le pianticelle perche' non avevano radici profonde;.;3
4;Cosa successe, invece, ai semi caduti tra le spine?;Germogliarono ma le spine soffocarono le pianticelle;il vento li sposto' lontano;il sole li fece seccare;.;1
5;Altri semi caddero su un terreno buono...;ma non germogliarono;e diedero un frutto abbondante;e diedero un raccolto scarso;.;2
6;Dov'era Gesu' quando racconto la "parabola del seminatore"?;a Betlemme;nel tempio;in riva al lago di Galilea;.;3
7;Gesu', spiegando il significato della "parabola del seminatore", disse che il seme finito sulla strada indica...;chi sente parlare del regno di Dio ma non capisce.Viene il maligno e ruba quel che e' stato seminato nel suo cuore;che fa finta di niente;che spreca il pane quotidiano;.;1
8;Il seme caduto tra i sassi  indica...;chi accoglie con entusiasmo la parola di Dio ,ma appena incontra delle difficolta' subito si lascia andare;chi si accontenta di poco;chi e' capace di superare le difficolta';.;1
9;Il seme caduto tra le spine indica...;"chi ascolta la parola di Dio,ma poi si lascia prendere dalle preoccupazioni di questo mondo o dai piaceri della ricchezza;tutto questo soffoca la parola di  Dio ed essa rimane senza frutto";chi non sa cosa fare;chi ascolta la parola di Dio, la capisce e la fa fruttificare;.;1
10;Il seme caduto nel terreno buono indica;chi ascolta la parola di Dio,la capisce e la fa fruttificare ;chi e' fortunato ed ha molti soldi;chi cerca le comodita';.;1
11;Com'e' anche chiamata la "parabola dell'erba cattiva"?;della zizzania;del servo crudele;dei due figli;.;1
12;Nella "parabola dell'erba cattiva" si racconta che il regno di Dio e' come la...;rugiada del mattino;buona semente che un uomo fece seminare nel suo campo;sorgente d'acqua pura;.;2
13;Che cosa successe dopo che il grano era stato seminato?;un nemico venne a seminare,di notte,dell'erba cattiva ;le talpe mangiarono i semi;una siccita' colpi' il paese;.;1
14;Che cosa fece il padrone del campo quando seppe che insieme al grano era cresciuta dell'erba cattiva?;fece togliere l'erba cattiva;lascio' crescere l'erba cattiva insieme al grano;vendette il campo;semino' della nuova semente;2
15;Che cosa pensava di fare il padrone del campo al momento della mititura?;avrebbe bruciato il raccolto;avrebbe fatto raccogliere le spighe ad una ad una;avrebbe fatto raccogliere prima l'erba cattiva, per poi bruciarla.Mentre il frano l'avrebbe riposto nei granai;.;2
16;Gesu' spiego' che colui che semina la buona semente e'...;il figlio dell'uomo;un padre buono;un uomo generoso;.;1
17;Gesu' spiego' che il campo da seminare e'...;il mondo;la chiesa;la campagna;.;1
18;La buona semente rappresenta coloro...;che giocano bene al pallone;che appartengono al regno di Dio;che si comportano male;.;2
19;Chi e' il nemico che ha seminato l'erba cattiva?;il diavolo;un tipo scherzoso;uno che si e' sbagliato;.;1
20;Gesu' spiega anche che il "giorno del raccolto"corrisponde...;all'inizio dell'estate;alla fine del mondo;alla domenica;.;2
21;Quale sorte tocchera' a coloro che fanno la volonta' di Dio?;saranno splendenti come il sole nel regno di Dio Padre;nulla di particolare;piangeranno per sempre;.;1
22;Nella "parabola della pecora smarrita" Gesu' racconta di un pastore che possedeva molte pecore. Quante erano?;cento;mille;venti;.;1
23;Cosa fa il pastore quando si accorge che manca una pecora?;aspetta che ritorni da sola;lascia le altre nuovamente e va  a cercarla;chiese aiuto agli amici;.;2
24;Il pastore, dopo aver ritrovato la pecora smarrita, e'...;stanco;piu' contento per la pecora  ritrovata che per le altre novantanove che non si erano perse;arrabbiato;.;2
25;Nella "parabola del servo crudele" si parla di un servo che...;doveva pagare al suo re una enorme somma di denaro;non aveva voglia di lavorare;era gravemente ammalato;.;1
26;Come si comporta il re di fronte alle implorazioni del servo?;lo licenzio';ebbe pieta' di lui e cancello' il suo debito;lo mise in prigione;.;2
