1;Quanti scritti sono compresi nel Nuovo Testamento?;12;40;27;.;3
2;Quanti sono i Vangeli?;4;7;3;.;1
3;Chi sono gli autori dei Vangeli?;Paolo,Bartolomeo,Giacomo,Andrea;Matteo,Marco,Luca e Giovanni;Giuda,Giovanni,Filippo,Simone;.;2
4;Quale evangelista racconta la annunciazione dell'angelo a Maria?;Marco;Luca;Giovanni;.;2
5;"Quante ""lettere ai Corinzi""sono comprese nel Nuovo Testamento?";2;4;3;.;1
6;"Quante ""lettere di Giovanni"" sono comprese nel Nuovo Testamento?";Una ;Tre;Otto;.;2
7;Come si chiama l'ultimo libro del Nuovo Testamento?;Vangelo;Bibbia;Apocalisse;.;3
8;Quale libro del Nuovo Testamento presenta la vita delle prime comunita' cristiane?;Apocalisse;Atti degli Apostoli;Deuteronomio;.;2
9;"Cosa significa la parola ""Vangelo""?";Buon viaggio;Favola;Lieto messaggio;.;3
10;Come si chiamava l'angelo che porto' l'qnnuncio a Maria?;Gbriele;Michele;Raffaele;.;1
11;Dove abitava Maria quando l'angelo le annuncio' che sarebbe diventata la mamma di Gesu'?;Betlemme;Gerusalemme;Nazaret;.;3
12;In quale regione si trova Nazaret?;Galilea;Samaria;Giudea;.;1
13;Dopo l'annuncio dell'angelo Gabriele,Maria si reco' a visitare una parente.Di chi si tratta;Marta;Isabella;Elisabetta;.;3
14;"Chi disse :""Tutti,d'ora in poi,mi diranno beata""?";Elisabetta;Maria;Sara;.;2
15;Quale mestiere esercitava Giuseppe,lo sposo di Maria?;Pastore;Idraulico;Falegname;Muratore;3
16;Con quale nome, l'angelo che apparve in sogno a Giuseppe,gli disse di chiamare il bambino che Maria avrebbe avuto?;Cristo;Salvatore;Gesu';.;3
17;"Qual e' il significato del nome ""Gesu'""?";Profeta;Il Signore salva;Dio e' con noi;.;2
18;"Chi disse a Maria:"" Benedetto e' il bambino che avrai!""?";Elisabetta;Giuseppe;Anna;.;1
19;"Qual e' il significato del nome ""Emmanuele""?";Il Signore salva;Dio libera;Dio e' con noi;.;3
20;Chi erano i genitori di Giovanni il Battista?;Abramo e Sara;Giacobbe e Rebecca;Zaccaria e Elisabetta;.;3
21;"A chi si riferiscono le parole:""E tu,bambino,sarai chiamato profeta dell'Altissimo""?";A Giovanni il Battista;A Pietro;A Gesu';A Isaia;1
22;"cosa successe a Zaccaria che non credette alle parole dell'angelo:""Tua moglie Elisabetta ti dara' un figlio""?";Rimase muto fino alla nascita del figlio;Rimase paralizzato;Cadde per le scale;.;1
23;Perche' Giuseppe e Maria dovettero recarsi a Betlemme?;Per il censimento voluto da Cesare Augusto;Per ritirare un premio;Per pagare le tasse;.;1
24;In quale citta' nacque Gesu'?;Gerusalemme ;Betlemme;Cana;.;2
25;Quali evangelisti descrivano la nascita di Gesu'?;Marco e Giovanni;Matteo e Luca;Marco e Matteo;.;2
26;Chi era "re della Galilea" quando nacque Gesu'?;Erode il Grande;Cesare Augusto;Davide;Salomone;1
27;In quale regione si trova Betlemme?;Galilea;Giudea;Samaria;.;2
28;Che cosa significa la parola "Messia"?;Battezzato;Benedetto;Unto;.;3
29;Chi informo i pastori che era nato il Salvatore, il figlio di Dio?;Un soldato;Un angelo;Un pellegrino;.;2
30;Quale segno indico' ai Magi il cammino per giungere a Betlemme?;Un fulmine;Una stella;Una mappa;.;2
31;Cosa portarono in dono a Gesu' i Magi venuti dall'oriente?;Oro,incenso e mirra;Cioccolatini e caramelle;Diamanti,argento e oro;.;1
32;I Magi dopo aver visitato Gesu' tornano da Erode. Vero o falso?;Vero;Falso;.;.;2
33;Perche' Giuseppe, Maria e Gesu' bambino dovettero fuggire da Betlemme?;Per paura di un terremoto;Perche' Erode voleva uccidere Gesu';Per una carestia;.;2
34;In quale paese si rifugiarono Giuseppe, Maria e Gesu' bambino, per sfuggire al re Erode?;In Mesopotamia;In Egitto;In Grecia;.;2
35;Dove si stabilirono Giuseppe, Maria e Gesu' bambino, dopo il ritorno dall'Egitto?;A Nazaret ;A Betlemme;A Gerico;.;1
36;Quanti anni aveva Gesu' quando Maria e Giuseppe lo ritrovarono nel tempio mentre discuteva con i maestri della legge?;Sei;Dieci;Dodici;.;3
37;In quale fiume venne battezzato Gesu'?;Nilo;Eufrate;Giordano;.;3
38;Da chi venne battezzato Gesu'?;Giovanni il Battista;Pietro;Andrea;Giuseppe;1
39;Quando Gesu' ricevette il battesimo, lo Spirito Santo discese su di lui sotto forma di...;colomba;fuoco;vento;fulmine;1
40;Dopo il battesimo, Gesu' ando'...;A Roma;nel deserto;a Nazaret;in riva al lago di Galilea;2
41;Per quanti giorni, dopo il battesimo Gesu' rimase nel deserto?;40;12;33;7;1
42;Da chi venne tentato Gesu' durante i giorni trascorsi nel deserto?;Da un serpente;Da Pietro;Dal divolo;.;3
43;Chi fece uccidere Giovanni il battista?;Giuda Iscariota;Pilato;Erode Antipa;.;3
44;Sulla riva di quale lago si trovava Gesu' quando chiamo' a seguirlo i primi discepoli?;Lago di Garda;Lago di Galilea;Lago di Ginevra;.;2
45;Chi furono i primi due discepoli scelti da Gesu'?;Luca e Matteo;Giacomo e Giovanni;Simone e Andrea;.;3
46;Quanti erano gli apostoli?;12;7;10;.;1
47;In quale citta' Gesu' compi' il suo primo miracolo?;Cafarnao;Cana;Nazaret;Gerusalemme;2
48;A Cana, durante un banchetto di nozze al quale partecipava anche Gesu', venne a mancare una bevanda. Quale?;Vino;Acqua;latte;.;1
49;Cosa significa la parola "apostolo"?;Inviato;Discepolo;Cristiano;.;1
50;A chi Gesu' disse: "Venite con me, vi faro' diventare pescatori di uomini"?;Giacomo e Giovanni;Simone e Andrea;Matteo e Tommaso;.;2
51;Quale mestiere esercitavano Simone e Andrea?;Erano pescatori;Erano falegnami;Erano agricoltori;.;1
52;Quale apostolo, prima di incontrare Gesu', faceva l'esattore delle tasse?;Giacomo   ;Matteo;Giuda;.;2
53;In quale parabola Gesu' racconto dei semi caduti in mezzo alle spine?;Parabola delle monete d'oro;Parabola del seminatore;Parabola dell'erba cattiva;;2
54;Gesu' inizia la parabola della "pecora smarrita" indicando il numero delle pecore accudite dal pastore. Quante sono?;Venti ;Cinquanta;cento;.;3
55;Un lebbroso si butt— in ginocchio davanti a Gesu' e gli disse...;Va' lontano da me perche' posso contagiarti;se vuoi,tu puoi guarirmi;Dammi qualcosa da mangiare;.;2
56;Gesu' ebbe compassione di lui, lo tocc— con la mano e disse...;si,lo voglio:guarisci!;va' a lavarti,cosi' guarirai;adesso non ho tempo;.;1
57;Cosa fece quell'uomo subito dopo la guarigione?;ando' dagli apostoli;racconto' a tutti quello che gli era capitato;organizzo' una gran festa;.;2
58;Un giorno, Gesu' entrando nel villaggio di Nain vide...;un funerale;una festa di matrimonio;uno sciopero;.;1
59;Chi era morto?;il sindaco;l'unico figlio di una vedova;un centurione romano;Lazzaro;2
60;Cosa successe dopo che Gesu' disse: "ragazzo, te lo dico io: alzati!"?;Arrestarono Gesu' ;Terminarono la sepoltura;Il morto si alzo' e comincio' a parlare;.;3
61;Quale cibo Gesu' moltiplic— per sfamare la folla che lo ha seguito?;Cinque pani e due pesci;sei mele e tre grissini;venti noci e due pizze;.;1
62;A chi Gesu' disse: "io ti daro' le chiavi del regno di Dio"?;Pietro;Giovanni;Andrea;.;1
63;Qual e' ammalato Gesu' guari' presso la piscina di Betzata, a Gerusalemme?;Un lebbroso;Un paralitico;Un cieco;.;2
64;Dove trov—, Pietro, la moneta per pagare la tassa del tempio di Gerusalemme per lui e' Gesu'?;Nella bocca di un pesce;Per la strada;Vicino ad un albero;.;1
65;Completa la frase di Gesu': "e tu stai a guardare la pagliuzza che e' nell'occhio di un tuo fratello e non ti accorgi della ..........che e' nel tuo occhio"?;pianta;trave;spina;.;2
66;A quale pianta Gesu' disse: "nessuno possa mai piu' mangiare i tuoi frutti"?;fico;melo;ciliegio;.;1
67;Come si comporto' il giovane ricco alla richiesta di Gesu' di vendere tutti i beni, di dare ricavato ai poveri e di seguirlo?;ascolto' Gesu';fece finta di nulla;se ne ando' via;.;3
68;Che cosa chiese a Gesu' da bere alla Samaritana ?;latte;acqua;aranciata;.;2
69;Tra gli apostoli, oltre a Simone e Andrea, c'erano altri due fratelli. Come si chiamavano?;Giacomo e Giovanni;Giuda e Tommaso;Paolo e Luca;.;1
70;A quale ingrediente alimentare Gesu' paragona i suoi discepoli?;all'olio;al sale;all'aceto;.;2
71;Quale professione esercitatava Zaccheo?;meccanico;panettiere;agente delle tasse;pescatore;3
72;Zaccheo per vedere meglio Gesu' si arrampico'...;sul tetto di una casa;su un albero;su una torre;su una montagna;2
73;Gesu' disse che si sarebbe fermato a casa di Zaccheo. Cosa fece Zaccheo?;lo accolse con grande gioia;disse di essere occupato;fece finta di non capire;.;1
74;Quale apostolo si rivolse a Gesu' dicendo:"Anche se tutti gli altri perderanno ogni fiducia in te,io non la perdero' mai"?;Giovanni ;Pietro;Giuda;.;2
75;Quale preghiera insegno' Gesu' ai discepoli?;Credo;Ave,o Maria;Padre nostro;.;3
76;Nella "Parabola della moneta d'argento" Gesu' racconta di una donna che possedeva delle monete. Quante ne aveva?;Cento;Dieci;Trentadue;.;2
77;Che cosa fa la donna dopo essersi accorta di aver perso una moneta?;Sviene per il dispiacere;Porta le altre in barca;La cerca accuratamente;.;3
78;Dopo aver ritrovato la moneta smarrita la donna...;chiama le amiche e fa festa con loro;si compra un vestito nuovo;la porta in barca;.;1
79;In quale villaggio ,vicino a Gerusalemme, abitava Lazzaro?;Betania;Emmaus;Betlemme;.;1
80;Come si chiamavano le due sorelle di Lazzaro?;Anna e Sara;Rebecca e Elisabetta;Marta e Maria;.;3
81;Quando Gesu' arriv— a Betania Lazzaro era gia' morto. Gesu' allora...;lo rescuscito';prego' per lui;torno' a Gerusalemme;porto' dei fiori sulla tomba;1
82;Un giorno, Gesu' scaccio' delle persone dal tempio di Gerusalemme. Chi erano costoro?;Soldati;Lebbrosi;Mercanti;.;3
83;Prima della festa ebraica di Pasqua, Gesu' entro' a Gerusalemme cavalcando...;un cammello;un'asina;un cavallo;.;2
84;In quale Citta' Gesu' fece l'ultima cena con gli apostoli?;Gerusalemme;Roma;Damasco;.;1
85;Durante l'ultima cena, qual apostolo non volle, a tutta prima,che Gesu' gli lavasse i piedi?;Giuda;Giovanni;Pietro;.;3
86;"In quale occasione Gesu' disse: "prendete e mangiatene; questo e' il mio corpo"?";Durante l'ultima cena;sulla croce;quando moltiplico' i pani e i pesci;.;1
87;Durante l'ultima cena Gesu' disse: "io vi assicuro che e' uno di voi mi tradira'". Vero o falso?;vero;falso;.;.;1
88;Dopo l'ultima cena Gesu' ando' a pregare in un luogo  chiamato...;Monte Sinai;Getsemani;Cenacolo;Lago di Galilea;2
89;Dopo aver pregato nel Getsemani, Gesu' ritorno dai discepoli. Cosa stavano facendo?;Pregavano;Mangiavano;Dormivano;.;3
90;Come si chiamava l'apostolo che tradi' Gesu'?;Andrea ;Giuda;Simone;.;2
91;Con quale gesto Giuda Iscariota tradi' Gesu' al momento dell'arresto?;con una stretta di mano;con un bacio;con uno schiaffo;.;2
92;Quale apostolo durante l'arresto di Gesu', feri' con la spada il servo del Sonmo Sacerdote?;Giuda Iscariota;Pietro;Andrea;.;2
93;subito dopo l'arresto,Gesu' venne condotto...;da Caifa;da Ponzio Pilato;da Simone di Cirene;.;1
94;Chi era Caifa?;un agente delle tasse;il Sommo Sacerdote;un apostolo;.;2
