1;Dove abitava Maria quando l'angelo Gabriele le annunciò che sarebbe diventata la madre di Gesù? ;Cafarnao ;Nazaret ;Betlemme ;;2
2;Con quali parole l'angelo Gabriele si rivolse a Maria ? ;Ti saluto Maria! Il signore è con te : egli ti ha colmato di grazia ;Salve Regina ;;;1
3;Come reagì Maria alle parole di saluto dell'angelo Gabriele ? ;Si mise a ridere ;Fu molto impressionata e si chiedeva che significato potesse avere quel saluto ;;;2
4;L'angelo disse a Maria di chiamare il bambino con il nome…..;Giovanni ;Pietro ;Gesù;;3
5;Maria seppe dall'angelo che una sua parente attendeva un figlio. Di chi si trattava ? ;Elisabetta ;Rebecca ;Marta ;;1
6;Con quali parole Maria rispose all'annuncio dell'angelo ? ;D'ora in poi tutti mi diranno beata ;Eccomi, sono la serva del Signore. Dio faccia con me come tu hai detto ;;;2
7;Dopo l'annuncio dell'angelo Maria si recò da Elisabetta, sua cugina. Vero o falso ?  ;Vero ;Falso ;;;1
8;Per far visita ad Elisabetta Maria si mise in viaggio verso…..;La Galilea ;La Samaria ;La Giudea ;;3
9;Con quali parole Elisabetta rispose al saluto di Maria ? ;Dio ti ha benedetta più di tutte le altre donne, e benedetto è il bambino che avrai !;Benedetto il Signore, il Dio di Israele ;Che piacere rivederti !;;1
10;Alle parole di Elisabetta Maria rispose con una lode a Dio che inizia con la frase….;Gloria a Dio in cielo e pace in terra ;Grande è il Signore: lo voglio lodare ;Santo è il Signore ;;2
11;Come viene chiamata la lode a Dio pronunciata da Maria in visita ad Elisabetta ? ;Magnificat ;Lode al Signore ;Gloria a Dio ;;1
12;"Quale evangelista riporta le parole del "" Magnificat""  ? ";Matteo ;Giovanni ;Luca ;;3
13;"Perché la lode a Dio di Maria si chiama"" Magnificat"" ? ";Prende il nome dalla prima parola della lode nella versione latina ;Perché è una lode magnifica ;E' un titolo scelto a caso ;;1
14;Per quanto tempo Maria rimase con Elisabetta ? ;tre giorni ;tre mesi ;un anno ;;2
15;Dopo aver fatto visita a Elisabetta, Maria ……..;andò a Gerusalemme ;andò a Betlemme ;fece ritorno a Nazaret ;;3
16;Quale mestiere esercitava Giuseppe lo sposo di Maria ? ;Falegname ;Pastore ;Pescatore ;Agricoltore ;1
17;Perché Giuseppe e Maria dovettero recarsi a Betlemme ? ;Per comprare una casa ;Per il censimento voluto dall'imperatore romano ;Per far visita a dei parenti ;;2
18;In quale città della Giudea nacque Gesù ? ;Gerusalemme ;Betlemme ;Nazaret ;;2
19;Maria mise a dormire il bambino Gesù appena nato…….;nella mangiatoia di una stalla ;in un lettino ;in una culla dorata ;;1
20;"Chi disse a Maria :"" Il dolore ti colpirà come colpisce una spada"" ? ";Il vecchio Simeone ;Il re Erode ;I re Magi ;;1
21;In quale occasione il vecchio Simeone parlò con Maria ? ;Quando nacque Gesù ;Quando Maria fece visita ad Elisbetta ;Quando avvenne la presentazione di Gesù Bambino al tempio ;;3
22;Perché Giuseppe, Maria e il Bambino Gesù dovettero fuggire da Betlemme ? ;Perché il re Erode voleva uccidere Gesù ;Per un'epidemia ;Per paura di un terremoto ;;1
23;In quale paese si rifugiarono Giuseppe, Maria e il Bambino per sfuggire al re Erode? ;In Grecia;In Egitto ;In India ;;2
24;Dopo la morte di Erode, Giuseppe, Maria e Gesù fecero ritorno a ……;Betleme ;Tiberiade ;Nazaret ;;3
25;In quale occasione Maria, Giuseppe e Gesù dodicenne si recarono a Gerusalemme? ;Per la festa di Pasqua ;Per incontrare Pietro ;;;1
26;Per quanti giorni Maria, e Giuseppe cercarono Gesù dodicenne dopo averlo smarrito a Gerusalemme ? ;sette giorni ;tre giorni ;;;2
27;Cosa disse Maria a Gesù dopo averlo ritrovato fra i maestri della legge nel Tempio ? ;Tuo padre ed io ti abbiamo cercato e siamo stati molto preoccupati per causa tua ;Perché parli con i maestri della Legge ? ;;;1
28;Per quale occasione Maria insieme a Gesù andò a Cana di Galilea ? ;Per un funerale ;Per un matrimonio ;Per salutare Elisabetta ;;2
29;Durante il banchetto di nozze venne a mancare una bevanda. Quale ? ;aranciata ;acqua ;vino ;;3
30;Chi disse a Gesù : Non hanno più vino? ;Maria ;Giuseppe ;Pietro ;;1
31;Che cosa disse Maria rivolgendosi ai servi ? ;Fate quello che Gesù vi dirà ;Avvisate gli sposi ;Mandate a casa gli invitati ;Andate a comprare altro vino ;1
