1;In quale giorno della settimana i cristiani si riuniscono per partecipare alla celebrazione eucaristica?;Domenica;Sabato;Venerdç;.;1
2;"Con quale ""segno"" cristiano si inizia la celebrazione eucaristica?";Con il segno della croce;Con un gesto di pace;Con la recita del rosario;.;1
3;Com'ä anche chiamata la celebrazione eucaristica?;Confessione;Santa Messa;Beneizione;.;2
4;La S. Messa si suddivide in due momenti importanti. Quali?;Via Crucis e benedione;Rosario e gesto della pace;Liturgia della Parola e liturgia eucaristica;.;3
5;In quale momento, durante la S. Messa, il celebrante compie il gesto di lavarsi le mani?;Dopo la comunione;Prima della lettura del Vangelo;Dopo l'offertorio;.;3
6;Durante la S. Messa i fedeli ascoltano la lettura del Vangelo stando seduti oppure in piedi?;    SEDUTI;   IN PIEDI;;.;2
7;"Cosa significa la parola ""Eucarestia""?";Mangiare;Riunione;Ringraziamento;.;3
8;"Di che colore sono i paramenti del sacerdote durante le celebrazioni del ""tempo ordinario""?";Viola;Verde;Rosso;.;2
9;Di che colore sono i paramenti che il celebrante indossa durante il periodo quaresimale?;Bianco;Viola;Rosso;.;2
10;"Come si chiama il ""discorso"" che fa il celebrante, durante la Messa, dopo la lettura del Vangelo?";Benedizione;Omelia;Preghiera;.;2
11;Come si chiama la preghiera che segue immediatamente la consacrazione del pane e del vino durante la S. Messa?;Anamnesi;Credo;Atto di dolore;.;1
12;"Il rito del ""congedo"", durante la S. Messa, si svolge all'inizio o alla fine della celebrazione?";  All'Inizio;  Alla fine;;.;2
13;"Quanti sono i ""sacramenti""?";7;10;12;.;1
14;Quali sono i sacramenti?;Benedizione e Rosario;Battesimo, Confermazione, Eucarestia, Penitenza, Unzione degli infermi, Ordine e Matrimonio;Via crucis e comunione;.;2
15;Qual ä il primo dei sacramenti che riceve colui che vuole divenire cristiano?;Confermazione;Battesimo;Ordine;.;2
16;"In qualo sacramenti viene usato il ""crisma"", l'olio consacrato?";Matrimonio e Battesimo;Comunione, Unzione degli infermi e Matrimonio;Battesimo, Confermazione e Ordine;.;3
17;Com'ä anche chiamato il sacramento della Confermazione?;Cresima;Comunione;Ordine;.;1
18;"In quale giorno dell'anno liturgico il Vescovo consacra il ""sacro crisma""?";A Natale;Il giovedç santo;A Pentecoste;.;2
