1;Come si chiama il successore dell'apostolo Pietro a capo della Chiesa?;Sommo pontefice o Papa;Parroco;Cardinale;.;1
2;Da chi viene eletto il Papa?;Dai diaconi;Dai cardinali;Dalle suore;.;2
3;Come si chiama la lettera circolare del Papa a tutti i fedeli?;Dogma;Giubileo;Enciclica;Comandamento;3
4;Come si chiama la riunione dei cardinali per l'elezione del Papa?;Conclave;Sacra riunione;Cenacolo;.;1
5;Come si chiama la riunione, sotto presidenza del Papa, di tutti i vescovi della chiesa cattolica?;Vescovado;Concilio ecumenico;Incontro diocesano;.;2
6;Il Papa Š anche Vescovo di Roma.;VERO;FALSO;;.;1
7;In quale citt… si svolse il primo Concilio della Chiesa?;Roma;Gerusalemme;Betlemme;.;2
8;L'ordinazione dei presbiteri (o sacerdoti) avviene mediante il sacramento_;Del Battesimo;Della Confermazione;Dell'Ordine;Del Matrimonio;3
9;Chi ha il potere di ordinare i sacerdoti?;Presidente della Repubblica;Vescovo;Diacono;.;2
10;"Da chi venne istituita la figura del ""diacono""?";Da Ges—;Da Papa Giovanni Paolo II;Dagli Apostoli;.;3
11;"Cosa vuol dire la parola ""diacono""?";Sacerdote;Servitore;Apostolo;Cattolico;2
12;"Chi Š il ""chierico""?";E' un membro del clero;Chi canta nel coro;Colui che serve il celebrante nella S. Messa;.;1
