1;"Dove si riunivano i primi cristiani per celebrare la ""frazione del pane""?";Nella sinagoga;In casa;Nella cattedrale;.;2
2;Come si chiamava l'edificio per il culto cristiano?;Chiesa ;Sinagoga;Moschea;.;1
3;"Cos'Š la ""navata""?";Lo spazio interno della chiesa;Un tipo di chiesa;La sacrestia;La parte alta del campanile;1
4;Come si chiama il luogo, all'interno della chiesa, dov'Š situata l'altare?;Pronao;Presbiterio;Battistero;Ambone;2
5;"Da dove viene letta la ""Parola di Dio"" durante la S. Messa?";Dal fonte battesimale;Dalla cripta;all'ambone;Dalla sacrestia;3
6;"Che cos'Š una ""basilica""?";Una pianta aromatica;Una chiesa;Una regione italiana;.;2
7;Dove viene custodito il Santissimo Sacramento?;Nel turibolo;Nel tabernacolo;Nel fonte battesimale;.;2
8;"Come si chiama il ""luogo"" dove si celebra il sacramento della Penitenza?";Mausoleo;Confessionale;Battistero;.;2
9;Come si chiama l'ambiente dove vengono riposti arredi e oggetti per le celebrazioni e dove si veste il celebrante?;Sacrestia;Cappella;Tiburio;.;1
10;Come si chiama lo spazio dove sostano i fedeli in chiesa?;Presbiterio;Navata;Pronao;.;2
11;L'acquasantiera Š un contenitore dell'acqua benedetta posto all'entrata della chiesa.;VERO;FALSO;;.;1
12;"Come si chiama la tavola, in genere in marmo, che serve per la ""mensa eucaristica""?";Altare;Nicchia;Bancone;Ambone;1
