1;Chi sono i patroni d'Italia?;San Francesco d'Assisi e santa Caterina da Siena;San Pietro e Paolo;San Benedetto e santa Lucia;.;1
2;Chi sono i santi patroni d'Europa?;San Luca, San Marco e San Giorgio;San Benedetto, San Cirillo e San Metodio;San Nicola, San Gennaro e Santa Lucia;.;2
3;"Chi Š la fondatrice dell'ordine delle ""clarisse""?";Santa Chiara d'Assisi;Santa Caterina da Siena;Santa Rita da Cascia;.;1
4;Come si chiama il santo fondatore dei Salesiani?;San Nicola di Bari;San Domenico Savio;San Giovanni Bosco;.;3
5;Come si chiama la santa protettrice dei cantori e musicisti?;Santa Cecilia;Santa Barbara;Santa Lucia;.;1
6;San Francesco d'Assisi Š anche ricordato come l'inventore di una tradizione natalizia ancora oggi molto diffusa. Qual Š?;Albero di Natale;Corona d'Avvento;Presepe;..;3
7;"Santa Teresa di Ges— Bambino Š la ""patrona delle missioni"" insieme a_";San Martino di Tours;San Francesco Saverio;San Vincenzo de' Paoli;.;2
8;"Chi Š il findatore di un ordine religioso il cui motto Š :"" prega e lavora""?";San Giorgio;San Benedetto ;San Giovanni ;.;2
9;"Chi Š l'ideatore dell'alfabeto ""cirillico"" usato dalle popolazioni slave?";San Cirillo;San Martino; San Paolo;.;1
10;Chi Š il patrono della citt… di Venezia?;San Riccardo;San Marco;San Luca;San Giorgio;2
11;Quali santi vengono festeggiati insieme il 29 giugno?;Santi Pietro e Paolo;Santi Giovanni e Barnaba;Santi Francesco e Chiara;.;1
12;"Chi Š la ""Santa dell'impossibile""?";Santa Chiara d'Assisi;Santa Rita da Cascia;Santa Teresa d'Avila;Santa Lucia;2
