1;"Cos'ä il ""dogma""?";Un libro della Bibbia;Una veritÖ di fede da credere;La chiesa pió importante della cittÖ;.;2
2;Come si chiama la dottrina contraria a quanto crede la Chiesa?;Esegesi;Parusça ;Eresia;.;3
3;"Cosa vuol dire la parola ""scisma""?";Terremoto;Separazione;Unione;.;2
4;Come ä chiamata la separazione creatasi all'interno della Chiesa che diede origine alla Chiesa orientale e occidentale?;Diaconia;Scisma;Ortodossia;.;2
5;"Cosa indica la parola ""parusça""?";Il ritorno di Cristo alla fine del mondo;Una grande parrocchia;La nascita del Messia;.;1
6;"Chi sono i ""neofiti""^";I nuovi battezzati;Diaconi;Frati;.;1
7;"Cosa significa la parola ""Papa""?";Maestro;Successore;Padre;Imperatore;3
8;"Cosa significa la parola ""angelo""?";Messaggero;Alato;Invisibile;Amico;1
9;"Cosa significa la parola ""cattolico""?";Universale ;Cristiano;Religioso;.;1
10;Con quale frase si concluse la prima e la seconda lettura nella S. Messa?;Parola di Dio;Ascoltaci, o Signore;La pace sia con voi;.;1
11;"Chi ä il ""titolare"" di una chiesa?";Il Papa;Il Santo al cui nome ä dedicata quella chiesa;Il parroco;.;2
12;"Il cero pasquale simboleggia la figura di Cristo che ä ""luce del mondo"".";VERO;FALSO;;.;1
