1;Come si chiamail recipiente dove viene posto il vino dal celebrante durante la S. Messa?;Calice;Ostensorio;Caraffa;.;1
2;"Come si chiama il sostegno su cui si dispone il ""messale"" nella celebrazione eucaristica?";Pulpito;Candeliere;Leggço;.;3
3;Come si chiama il contenitore dove ä riposto l'incenso?;Navicella;Aspersorio;Pisside;.;1
4;Come si chiama l'oggetto usato per le benedizioni con l'acqua santa?;Teca;Aspersorio;Innaffiatoio;.;2
5;Come si chiama il libro posto sull'altare e dal quale il sacerdote legge le parole della liturgia eucaristica?;Breviario;Vangelo;Messale;.;3
6;"Il ""Lezionario"" ä il libro, posto sull'ambone, dove sono contenute le letture della Parola di Dio.";VERO;FALSO;;.;1
7;Come si chiamano i contenitori dell'acqua e del vino portati all'altare durante la S. Messa?;Bicchieri;Ampolline;Tabernacoli;.;2
8;Come si chiama il piattino dove il celebrante pone l'ostia da consacrare?;Tonaca;Stola;Patena;.;3
9;Come si chiama il panno usato dal celebrante per asciugarsi le mani?;Pianeta;Manutergio;Velo;.;2
10;Come si chiama il contenitore dove vengono riposte le ostie consacrate durante la Messa?;Pisside;Reliquiario;Ostensorio;.;1
11;Prima di iniziare la Messa Vengono accese le candele presenti sull'altare.;VERO;FALSO;;.;1
12;Dove viene messo a bruciare l'incenso durante le celebrazioni liturgiche?;Nella navicella;Nell'aspersorio;Nel turibolo;.;3
13;Come si chiama il contenitore dove ä custodita l'Ostia sacra durante l'adorazione?;Ostensorio;Presbiterio;Pisside;.;1
14;Vicino al tabernacolo ä posto sempre un lume acceso.;VERO;FALSO;;.;1
15;Come si chiama il bastone tenuto dal Vescono durante le funzioni solenni?;Pastorale;Scettro;Ambone;.;1
