1;Dove abitava Maria quando l'angelo Gabriele le annunciï che sarebbe diventata la madre di Gesó? ;Cafarnao ;Nazaret ;Betlemme ;;2
2;Con quali parole l'angelo Gabriele si rivolse a Maria ? ;Ti saluto Maria! Il signore ä con te : egli ti ha colmato di grazia ;Salve Regina ;;;1
3;Come reagç Maria alle parole di saluto dell'angelo Gabriele ? ;Si mise a ridere ;Fu molto impressionata e si chiedeva che significato potesse avere quel saluto ;;;2
4;L'angelo disse a Maria di chiamare il bambino con il nome_..;Giovanni ;Pietro ;Gesó;;3
5;Maria seppe dall'angelo che una sua parente attendeva un figlio. Di chi si trattava ? ;Elisabetta ;Rebecca ;Marta ;;1
6;Con quali parole Maria rispose all'annuncio dell'angelo ? ;D'ora in poi tutti mi diranno beata ;Eccomi, sono la serva del Signore. Dio faccia con me come tu hai detto ;;;2
7;Dopo l'annuncio dell'angelo Maria si recï da Elisabetta, sua cugina. Vero o falso ?  ;Vero ;Falso ;;;1
8;Per far visita ad Elisabetta Maria si mise in viaggio verso_..;La Galilea ;La Samaria ;La Giudea ;;3
9;Con quali parole Elisabetta rispose al saluto di Maria ? ;Dio ti ha benedetta pió di tutte le altre donne, e benedetto ä il bambino che avrai !;Benedetto il Signore, il Dio di Israele ;Che piacere rivederti !;;1
10;Alle parole di Elisabetta Maria rispose con una lode a Dio che inizia con la frase_.;Gloria a Dio in cielo e pace in terra ;Grande ä il Signore: lo voglio lodare ;Santo ä il Signore ;;2
11;Come viene chiamata la lode a Dio pronunciata da Maria in visita ad Elisabetta ? ;Magnificat ;Lode al Signore ;Gloria a Dio ;;1
12;"Quale evangelista riporta le parole del "" Magnificat""  ? ";Matteo ;Giovanni ;Luca ;;3
13;"PerchÇ la lode a Dio di Maria si chiama"" Magnificat"" ? ";Prende il nome dalla prima parola della lode nella versione latina ;PerchÇ ä una lode magnifica ;E' un titolo scelto a caso ;;1
14;Per quanto tempo Maria rimase con Elisabetta ? ;tre giorni ;tre mesi ;un anno ;;2
15;Dopo aver fatto visita a Elisabetta, Maria __..;andï a Gerusalemme ;andï a Betlemme ;fece ritorno a Nazaret ;;3
16;Quale mestiere esercitava Giuseppe lo sposo di Maria ? ;Falegname ;Pastore ;Pescatore ;Agricoltore ;1
17;PerchÇ Giuseppe e Maria dovettero recarsi a Betlemme ? ;Per comprare una casa ;Per il censimento voluto dall'imperatore romano ;Per far visita a dei parenti ;;2
18;In quale cittÖ della Giudea nacque Gesó ? ;Gerusalemme ;Betlemme ;Nazaret ;;2
19;Maria mise a dormire il bambino Gesó appena nato__.;nella mangiatoia di una stalla ;in un lettino ;in una culla dorata ;;1
20;"Chi disse a Maria :"" Il dolore ti colpirÖ come colpisce una spada"" ? ";Il vecchio Simeone ;Il re Erode ;I re Magi ;;1
21;In quale occasione il vecchio Simeone parlï con Maria ? ;Quando nacque Gesó ;Quando Maria fece visita ad Elisbetta ;Quando avvenne la presentazione di Gesó Bambino al tempio ;;3
22;PerchÇ Giuseppe, Maria e il Bambino Gesó dovettero fuggire da Betlemme ? ;PerchÇ il re Erode voleva uccidere Gesó ;Per un'epidemia ;Per paura di un terremoto ;;1
23;In quale paese si rifugiarono Giuseppe, Maria e il Bambino per sfuggire al re Erode? ;In Grecia;In Egitto ;In India ;;2
24;Dopo la morte di Erode, Giuseppe, Maria e Gesó fecero ritorno a __;Betleme ;Tiberiade ;Nazaret ;;3
25;In quale occasione Maria, Giuseppe e Gesó dodicenne si recarono a Gerusalemme? ;Per la festa di Pasqua ;Per incontrare Pietro ;;;1
26;Per quanti giorni Maria, e Giuseppe cercarono Gesó dodicenne dopo averlo smarrito a Gerusalemme ? ;sette giorni ;tre giorni ;;;2
27;Cosa disse Maria a Gesó dopo averlo ritrovato fra i maestri della legge nel Tempio ? ;Tuo padre ed io ti abbiamo cercato e siamo stati molto preoccupati per causa tua ;PerchÇ parli con i maestri della Legge ? ;;;1
28;Per quale occasione Maria insieme a Gesó andï a Cana di Galilea ? ;Per un funerale ;Per un matrimonio ;Per salutare Elisabetta ;;2
29;Durante il banchetto di nozze venne a mancare una bevanda. Quale ? ;aranciata ;acqua ;vino ;;3
30;Chi disse a Gesó : Non hanno pió vino? ;Maria ;Giuseppe ;Pietro ;;1
31;Che cosa disse Maria rivolgendosi ai servi ? ;Fate quello che Gesó vi dirÖ ;Avvisate gli sposi ;Mandate a casa gli invitati ;Andate a comprare altro vino ;1
32;Dopo aver fatto riempire dei recipienti d'acqua, Gesó tramutï l'acqua in vino. Vero o falso ;Vero ;Falso ;;;1
33;Quale evangelista riporta l'episodio delle nozze di Cana ? ;Marco ;Luca ;Giovanni ;Matteo ;3
34;Dove si trovava Maria quando Gesó venne crocifisso ? ;A Nazaret ;Accanto alla croce ;Da Pilato ;;2
35;Secondo la tradizione, quale discepolo era con Maria accanto alla Croce ? ;Giovanni ;Pietro ;Giuseppe ;;1
36;"Gesó in croce disse a Giovanni: "" Ecco tua madre "" . A chi si riferiva questa frase ? ";A Marta ;A Elisabetta ;A Maria, la madre di Gesó;;3
