1;"In quale preghiera mariana diciamo "" Tu sei benedetta tra le donne "" ? ";Salve, Regina ;Ave, o Maria ;Magnificat ;;2
2;"Nella preghiera "" Ave, o Maria "" la frase: "" Tu se Benedetta tra le donne "" , richiama le parole che furono rivolte a Maria da _.";Zaccari ;Elisabetta ;Pietro ;;2
3;"In quale preghiera la Madonna Š chiamata "" Madre di Dio "" ? ";Salve, Regina ;Magnificat ;Ave, o Maria ;;3
4;"La frase iniziale dell' "" Ave, o Maria "" richiama le parole dell'angelo Gabriele quando port• l'annuncio a Maria. Vero o Falso ? ";Vero ;Falso ;;;1
5;La lode che Maria elelv• a Dio quando fece visita ad Elisabetta viene chiamata __ ;Lode dell'Altissimo;Magnificat ;Gloria a Dio ;;2
6;"In quale preghiera Maria Š chiamata "" Madre di Misericordia ""? ";Ave, o Maria ;Salve Regina ;Credo ;;2
7;"Che cos'Š il "" rosario "" ? ";Una preghiera ;un mazzo di rose ;una collana ;;1
8;Recitando il rosario il fedele si sofferma su alcuni episodi della  vita di Ges— . Questi episodi sono riuniti in gruppi chiamati_.;Canti ;Misteri ;Dogmi ;;2
9;"I "" Misteri "" , su cui si riflette recitando il rosario, sono denominati: Misteri della gioia, della luce, del dolore, della gloria.";Vero ;Falso ;;;1
10;"In quale gruppo di ""Misteri"" si riflette sulla "" Visita di Maria a S. Elisabetta "" ? ";Misteri del dolore ;Misteri della Gloria ;Misteri della gioia ;;3
11;Quale preghiera si recita durante la meditazione dei singoli momenti della vita di Ges—? ;Atto di Dolore ;Angelo di Dio ;Ave, o Maria ;;3
12;"Quante "" Ave, o Maria "" si recitano durante la meditazione dei singoli momenti della vita di Ges—? ";dodici ;dieci ;sette ;;2
