1;In quale data ricorre la SolennitÖ di Maria Santissima Madre di Dio ? ;otto - dicembre ;1¯ gennaio ;15-ago;;2
2;"Durante quale Concilio si definç il titolo di "" Madre di Dio "" spettante a Maria ? ";Concilio di Efeso ;Concilio di Nicea ;Concilio di Basilea ;;1
3;In quale anno si tenne il Concilio di Efeso ;1536;325;431;;3
4;Di che colore sono i paramenti liturgici nella SolennitÖ di Maria Santissima Madre di Dio ? ;Bianco ;Verde ;Viola ;;1
5;Quale altra ricorrenza si celebra nel giorno della  festa di Maria SS. Madre di Dio ? ;Pentecoste ;Giornata delle Missioni ;Giornata della Pace ;;2
6;"Per desiderio di quale Papa, dal 1968, si celebra la "" Giornata della Pace "" ";Giovanni  XXIII;Paolo VI ;Giovanni Paolo II ;;2
7;In quale data ricorre la festa della Beata Vergine Maria di Lourdes ? ;31-mag;11-feb;15-ago;;2
8;Che cosa si vuole ricordare con la festa della B.V. Maria di Lourdes ? ;L'apparizione della Madonna nella grotta di Massabielle nei pressi di Lourdes ;La nascita di Maria ;L'annunciazione a Maria ;;1
9;Dove si trova Lourdes ? ;In Spagna ;In Francia ;In Portogallo ;;2
10;A chi apparve la Madonna a Lourdes ? ;A tre pastorelli ;A Bernadette Soubirous ;Al Papa ;;2
11;In che anno la Madonna apparve a Bernadette Soubirous ;1858;1960;1423;;1
12;Cosa rispose la Madonna quando Bernadette le chiese il suo nome ? ;Io sono la Madonna ;Io sono Maria di Nazaret ;Io sono l'Immacolata Concezione ;;3
13;In quale anno papa Pio VII introdusse nel calendario liturgico la festa di Maria Ausiliatrice ? ;1815;1735;1927;;1
14;In quale data la Chiesa celebra la Festa di Maria Ausiliatrice ? ;24-set;24-giu;24-mag;;3
15;Santa Maria Domenica Mazzarello fondï, con San Giovanni Bosco, un Istituto religioso che venne chiamato ;Suore della Consolata ;Figlie di Maria Ausiliatrice ;Serve di Maria ;;2
16;"Le "" Figlie di Maria Ausiliatrice "" sono anche chiamate__..";Suore Salesiane ;Suore del sorriso ;Suore della caritÖ ;;1
17;Quale Santo fece costruire, a Torino un Santuario in onore di Maria Ausiliatrice ?;Sant'Antonio da Padova ;San Giovanni Bosco ;San Filippo Neri ;;2
18;Quando la chiesa celebra la festa della Visitazione dlla Beata Vergine Maria ? ;31 ¯ maggio ;1¯ gennaio ;8 ¯ dicembre ;;1
19;Quale momento del Vangelo si ricorda con la festa della Visitazione della B. V. Maria ? ;Visita di Maria al Tempio ;Visita dei Magi ;Visita di Maria ad Elisabetta ;;3
20;La festa della Visitazione della B.V. Maria si pone tra due solennitÖ importanti.Quali? ;Pasqua e Pentecoste ;Annunciazione del Signore e NativitÖ di Giovanni Battista ;;;2
21;Come chiamï san Francesco di Sales , l'Ordine religioso da lui fondato ? ;Ordine dei Salesiani ;Ordine della Visitazione ;;;2
22;Quale festa mariana celebra la chiesa nel mese di luglio ? ;B.V. Maria del Rosario ;B.V. Maria Regina ;B.V. Maria del monte Carmelo ;;3
23;In quale data ricorre la festa della  B.V. Maria del Monte Carmelo ? ;4 ¯ luglio ;16 ¯ luglio ;28 ¯ luglio ;;2
24;L'origine della festa della B.V. Maria del monte Carmelo ä legata ad un Ordine religioso. Quale ? ;Carmelitani ;Agostiniani ;Benedettini ;;1
25;Quale festa mariana celebra la chiesa il 5 agosto ? ;Dedicazione della Basilica di Santa Maria Maggiore ;Maria SS. Madre di Dio ;B.V. Maria Regina ;;1
26;"In quale cittÖ del Lazio si trova il santuario di "" Santa Maria Maggiore "" ? ";Frosinone ;Latina ;Roma ;;3
27;"Il Santuario venne denominato Santa Maria ""Maggiore "" perchÇ ä il pió grande dei santuari mariani di Roma? ";Vero ;Falso ;;;1
28;Il 15 agosto la chiesa celebra un'importante festa mariana . Quale ? ;Immacolata Concezione ;Assunzione della B.V. Maria ;B.V. Maria Regina ;;2
29;Quando venne dichiarato da Pio XII il dogma dell' assunzione corporea di Maria in cielo ? ;1¯ novembre 1950 ;7¯ settembre 1320 ;15 ¯ agosto 1653 ;;1
30;Che cosä un dogma ? ;E' una festa mariana ;E' un tipo di chiesa ;E' una veritÖ di fede da credere ;;3
31;Quanti giorni dopo la festa dell'assunzione della B.V.Maria la chiesa ricorda la B.V.Maria Regina ? ;quaranta ;trentadue ;sette ;;3
